"","YEAR","MONTH","DAY_OF_MONTH","CARRIER","ORIGIN","DEP_DELAY","ARR_DELAY","DISTANCE","X"
"288",2008,1,5,"AA","DFW",-3,-2,733,NA
"289",2008,1,25,"AA","DFW",8,-7,1192,NA
"290",2008,1,13,"AS","OAK",-15,-19,371,NA
"291",2008,1,6,"UA","ORD",6,10,867,NA
"292",2008,1,23,"HA","KOA",-8,-7,163,NA
"293",2008,1,21,"9E","PNS",-4,-11,355,NA
"294",2008,1,10,"WN","PHL",-3,-11,861,NA
"295",2008,1,18,"US","SMF",31,19,647,NA
"296",2008,1,24,"WN","DAL",14,10,239,NA
"297",2008,1,5,"WN","SAN",28,35,418,NA
"298",2008,1,31,"EV","SAT",-10,-22,874,NA
"299",2008,1,23,"XE","SAV",10,22,851,NA
"300",2008,1,31,"WN","LAX",1,-4,308,NA
"301",2008,1,15,"DL","LAX",9,12,2611,NA
"302",2008,1,21,"NW","DTW",-1,-4,488,NA
"303",2008,1,15,"EV","ATL",8,4,457,NA
"304",2008,1,22,"MQ","PIT",-5,-8,412,NA
"305",2008,1,21,"NW","LAX",29,14,1536,NA
"306",2008,1,27,"F9","DEN",1,21,846,NA
"307",2008,1,13,"YV","DEN",51,48,73,NA
"308",2008,1,29,"XE","SAN",-6,-7,1027,NA
"309",2008,1,18,"AS","LGB",-11,-18,965,NA
"310",2008,1,14,"MQ","DTW",18,4,235,NA
"311",2008,1,15,"CO","TPA",-4,-14,998,NA
"312",2008,1,16,"XE","IAH",13,8,562,NA
"313",2008,1,6,"AA","MSY",0,-13,837,NA
"314",2008,1,8,"NW","MSP",-1,-3,252,NA
"315",2008,1,17,"WN","DEN",15,1,1491,NA
"316",2008,1,16,"MQ","DAL",-5,-10,461,NA
"317",2008,1,18,"CO","CLE",-4,14,895,NA
"318",2008,1,6,"XE","EWR",23,3,1069,NA
"319",2008,1,24,"WN","CMH",14,-4,405,NA
"320",2008,1,16,"UA","PDX",-5,-2,550,NA
"321",2008,1,14,"AA","DFW",34,14,1062,NA
"322",2008,1,18,"UA","SFO",79,76,337,NA
"323",2008,1,24,"WN","STL",-5,-15,880,NA
"324",2008,1,16,"WN","MCO",-3,-9,802,NA
"325",2008,1,31,"NW","MSO",1,-3,1013,NA
"326",2008,1,6,"XE","ONT",-11,-28,558,NA
"327",2008,1,14,"B6","JFK",NA,NA,301,NA
