"","YEAR","MONTH","CARRIER","EMPTOTAL","X"
"362",2007,5,"CTQ",12,NA
"363",2007,5,"CZQ",17,NA
"364",2007,5,"DL",48984,NA
"365",2007,5,"E0",281,NA
"366",2007,5,"E9",115,NA
"367",2007,5,"ER",983,NA
"368",2007,5,"EV",5751,NA
"369",2007,5,"EZ",518,NA
"370",2007,5,"F2",134,NA
"371",2007,5,"F9",5362,NA
"372",2007,5,"FE",115,NA
"373",2007,5,"FL",8324,NA
"374",2007,5,"FX",140808,NA
"375",2007,5,"G4",1117,NA
"376",2007,5,"G7",313,NA
"377",2007,5,"GFQ",84,NA
"378",2007,5,"GG",112,NA
"379",2007,5,"GL",393,NA
"380",2007,5,"GR",392,NA
"381",2007,5,"HA",3532,NA
"382",2007,5,"HP",14050,NA
"383",2007,5,"JW",439,NA
"384",2007,5,"KAQ",858,NA
"385",2007,5,"KLQ",38,NA
"386",2007,5,"KR",235,NA
"387",2007,5,"L2",154,NA
"388",2007,5,"M6",538,NA
"389",2007,5,"MG",702,NA
"390",2007,5,"MQ",10142,NA
"391",2007,5,"MRQ",94,NA
"392",2007,5,"MY",343,NA
"393",2007,5,NA,759,NA
"394",2007,5,"NC",246,NA
"395",2007,5,"NK",2270,NA
"396",2007,5,"NW",30392,NA
"397",2007,5,"OH",6558,NA
"398",2007,5,"OO",10503,NA
"399",2007,5,"OW",1861,NA
"400",2007,5,"PCQ",435,NA
"401",2007,5,"PFQ",44,NA
"402",2007,5,"PO",548,NA
"403",2007,5,"PRQ",76,NA
"404",2007,5,"PT",191,NA
"405",2007,5,"QX",4072,NA
"406",2007,5,"RD",457,NA
"407",2007,5,"RW",935,NA
"408",2007,5,"S5",1077,NA
"409",2007,5,"SLQ",130,NA
"410",2007,5,"SY",1000,NA
"411",2007,5,"TZ",2485,NA
"412",2007,5,"U5",636,NA
"413",2007,5,"U7",356,NA
"414",2007,5,"UA",54586,NA
"415",2007,5,"US",22076,NA
"416",2007,5,"VCQ",0,NA
"417",2007,5,"WE",251,NA
"418",2007,5,"WI",211,NA
"419",2007,5,"WN",33467,NA
"420",2007,5,"WO",1310,NA
"421",2007,5,"X9",1007,NA
"422",2007,5,"XE",8104,NA
"423",2007,5,"XJ",3134,NA
"424",2007,5,"XP",171,NA
"425",2007,5,"YV",3236,NA
"426",2007,5,"YX",2409,NA
"427",2007,5,"ZW",2440,NA
"428",2007,6,"09Q",117,NA
"429",2007,6,"16",1526,NA
"430",2007,6,"3Z",290,NA
"431",2007,6,"5X",6267,NA
"432",2007,6,"5Y",1200,NA
"433",2007,6,"8C",411,NA
"434",2007,6,"9E",4097,NA
"435",2007,6,"9S",316,NA
"436",2007,6,"AA",78278,NA
"437",2007,6,"ABX",10963,NA
"438",2007,6,"AJQ",251,NA
"439",2007,6,"AMQ",42,NA
"440",2007,6,"AQ",3551,NA
"441",2007,6,"AS",10110,NA
"442",2007,6,"AX",1310,NA
"443",2007,6,"B6",10974,NA
"444",2007,6,"BNQ",5,NA
"445",2007,6,"CO",39577,NA
"446",2007,6,"CS",1344,NA
"447",2007,6,"CZQ",17,NA
"448",2007,6,"DL",51217,NA
"449",2007,6,"E0",296,NA
"450",2007,6,"E9",114,NA
"451",2007,6,"ER",975,NA
"452",2007,6,"EV",4472,NA
"453",2007,6,"EZ",533,NA
"454",2007,6,"F2",128,NA
"455",2007,6,"F9",5422,NA
"456",2007,6,"FCQ",60,NA
"457",2007,6,"FE",127,NA
"458",2007,6,"FL",8507,NA
"459",2007,6,"FX",140788,NA
"460",2007,6,"G4",1111,NA
"461",2007,6,"G7",324,NA
"462",2007,6,"GFQ",88,NA
"463",2007,6,"GG",110,NA
"464",2007,6,"GL",404,NA
"465",2007,6,"GR",380,NA
"466",2007,6,"HA",3481,NA
"467",2007,6,"HP",14047,NA
"468",2007,6,"JW",419,NA
"469",2007,6,"KAQ",877,NA
"470",2007,6,"KLQ",44,NA
"471",2007,6,"KR",235,NA
"472",2007,6,"L2",155,NA
"473",2007,6,"M6",564,NA
"474",2007,6,"MG",699,NA
"475",2007,6,"MQ",10179,NA
"476",2007,6,"MRQ",98,NA
"477",2007,6,"MY",343,NA
"478",2007,6,NA,776,NA
"479",2007,6,"NC",241,NA
"480",2007,6,"NK",2319,NA
