"","YEAR","MONTH","DAY_OF_MONTH","ORIGIN","DEST","DEP_DELAY","ARR_DELAY","DISTANCE","X"
"378",2009,6,23,"MIA","DFW",90,77,1121,NA
"379",2009,6,30,"LGA","DTW",NA,NA,501,NA
"380",2009,6,5,"LAX","OAK",11,3,337,NA
"381",2009,6,1,"BNA","RDU",-5,-2,443,NA
"382",2009,6,3,"LGB","SLC",-8,-13,589,NA
"383",2009,6,1,"CSG","ATL",10,0,83,NA
"384",2009,6,28,"LAX","HOU",-1,-3,1390,NA
"385",2009,6,25,"CLE","MIA",-5,-3,1080,NA
"386",2009,6,20,"DAL","TUL",8,3,237,NA
"387",2009,6,13,"OKC","SLC",-1,5,866,NA
"388",2009,6,14,"SBA","SLC",-2,-3,615,NA
"389",2009,6,13,"IAH","DFW",-3,-7,224,NA
"390",2009,6,21,"PHX","BUR",-6,-4,369,NA
"391",2009,6,23,"PHX","SEA",-7,-16,1107,NA
"392",2009,6,6,"CEC","SFO",85,79,304,NA
"393",2009,6,1,"SAT","IAH",-4,-5,191,NA
"394",2009,6,10,"LAS","ISP",0,-40,2283,NA
"395",2009,6,30,"SLC","BZN",-3,-8,347,NA
"396",2009,6,17,"BIL","DEN",-1,8,455,NA
"397",2009,6,4,"IAD","ROC",16,-4,289,NA
"398",2009,6,10,"TVC","DTW",-10,2,207,NA
"399",2009,6,19,"LGA","ORD",NA,NA,733,NA
"400",2009,6,14,"DEN","HLN",-6,-19,594,NA
"401",2009,6,17,"MSP","STL",3,-10,449,NA
"402",2009,6,17,"LAS","SNA",13,5,226,NA
"403",2009,6,20,"ORD","MKE",-2,-10,67,NA
"404",2009,6,29,"DEN","BIL",-3,-9,455,NA
"405",2009,6,19,"SNA","SJC",19,12,342,NA
"406",2009,6,30,"MKE","MSN",-4,-4,74,NA
"407",2009,6,14,"DFW","BDL",38,18,1471,NA
"408",2009,6,16,"MEM","HSV",2,-4,184,NA
"409",2009,6,27,"IAH","MEM",65,68,469,NA
"410",2009,6,5,"MEM","EWR",122,142,946,NA
"411",2009,6,11,"SMF","ONT",3,-1,390,NA
"412",2009,6,30,"MDW","LAS",2,-12,1521,NA
"413",2009,6,22,"DFW","LGA",5,-5,1389,NA
"414",2009,6,10,"MCO","RDU",-1,-2,534,NA
"415",2009,6,18,"FSD","ATL",-4,-23,954,NA
"416",2009,6,21,"DAL","TUL",33,30,237,NA
"417",2009,6,3,"ORD","MCI",28,13,403,NA
"418",2009,6,3,"ATL","GSP",0,-11,153,NA
"419",2009,6,28,"DCA","DFW",-1,-4,1192,NA
"420",2009,6,16,"HSV","DFW",-3,-4,603,NA
"421",2009,6,12,"LAS","SNA",-7,-12,226,NA
"422",2009,6,16,"MEM","OKC",5,-6,432,NA
"423",2009,6,22,"MIA","TLH",-7,-6,403,NA
"424",2009,6,19,"MKE","TPA",-8,-13,1075,NA
"425",2009,6,27,"JAX","JFK",-5,-2,829,NA
"426",2009,6,18,"ATL","LEX",61,69,303,NA
"427",2009,6,19,"LAX","MEM",-3,-2,1619,NA
"428",2009,6,7,"ORD","BWI",0,-5,622,NA
"429",2009,6,12,"EWR","LAS",86,85,2227,NA
"430",2009,6,4,"SLC","PDX",5,-9,630,NA
"431",2009,6,19,"BRO","IAH",-4,-4,308,NA
"432",2009,6,21,"CVG","EWR",-2,3,569,NA
"433",2009,6,6,"ORD","DFW",0,-24,802,NA
"434",2009,6,15,"MEM","DFW",NA,NA,432,NA
"435",2009,6,13,"SEA","SAN",67,64,1050,NA
"436",2009,6,5,"DEN","DFW",-9,-14,641,NA
"437",2009,6,14,"ATL","BMI",2,3,533,NA
"438",2009,6,20,"MSY","ATL",0,-1,425,NA
"439",2009,6,21,"JFK","RIC",-2,22,288,NA
"440",2009,6,12,"IAD","LGA",-4,22,229,NA
"441",2009,6,15,"PHX","LAX",-1,6,370,NA
"442",2009,6,24,"OKC","STL",2,-9,462,NA
"443",2009,6,9,"ORD","LAN",-11,-19,179,NA
"444",2009,6,15,"ORD","LAX",-2,19,1745,NA
"445",2009,6,12,"TVC","DTW",-6,2,207,NA
"446",2009,6,29,"MSP","OMA",-5,-6,282,NA
"447",2009,6,18,"DTW","TYS",4,-5,443,NA
"448",2009,6,18,"DCA","DEN",149,156,1476,NA
"449",2009,6,24,"IAH","SFO",15,1,1635,NA
"450",2009,6,18,"SJU","EWR",-3,1,1608,NA
"451",2009,6,7,"CAE","ATL",0,1,191,NA
"452",2009,6,11,"ITO","HNL",10,15,216,NA
"453",2009,6,11,"RDU","DTW",21,13,501,NA
"454",2009,6,21,"JFK","IAD",8,13,228,NA
"455",2009,6,26,"MEM","MIA",11,17,860,NA
"456",2009,6,12,"MSP","ORD",-2,-4,334,NA
"457",2009,6,28,"SFO","EUG",-3,1,451,NA
"458",2009,6,10,"BUF","JFK",-4,-7,301,NA
"459",2009,6,27,"JFK","SLC",-2,-17,1989,NA
"460",2009,6,3,"IAH","LIT",-2,48,374,NA
"461",2009,6,16,"SAN","SFO",37,35,447,NA
"462",2009,6,5,"MLB","ATL",11,23,443,NA
"463",2009,6,6,"RIC","ATL",-7,-22,481,NA
"464",2009,6,6,"MEM","CLE",-2,1,622,NA
"465",2009,6,7,"BDL","ORD",-1,48,783,NA
"466",2009,6,6,"ORD","ATL",-5,-5,606,NA
"467",2009,6,25,"CLT","PHL",5,-5,448,NA
"468",2009,6,16,"RIC","ATL",5,-20,481,NA
"469",2009,6,29,"BOI","SEA",-4,-4,399,NA
